作品名,作品名かな_濁点なし,作品名かな_濁点あり,備考
鬼瓦,おにかわら,おにがわら,
軒丸瓦,のきまるかわら,のきまるがわら,
軒平瓦,のきひらかわら,のきひらがわら,
唐草文軒平瓦,からくさもんのきひらかわら,からくさもんのきひらがわら,
浅鉢形土器,あさはちがたどき,あさばちがたどき,
台付鉢形土器,だいつきはちがたどき,だいつきばちがたどき,
青磁鉢,せいじはち,せいじばち,
管玉,くだたま,くだだま,
広口壺,ひろくちつぼ,ひろぐちつぼ,
方格規矩四神鏡,ほうかくきくししんきょう,ほうかくきくしじんきょう,
松喰鶴鏡,まつくいつるきょう,まつくいづるきょう,
鉄鎌,てつかま,てつがま,
大観通宝,たいかんつうほう,だいかんつうほう,
独鈷杵,とっこしょ,どっこしょ,
仮名手本忠臣蔵八段目,かなてほんちゅうしんぐらはちだんめ,かなでほんちゅうしんぐらはちだんめ,
細形銅矛,ほそがたどうほこ,ぼそがたどうほこ,
四季山水図屏風,しきさんすいずびょうぶ,しきさんずいずびょうぶ,
四区袈裟襷文銅鐸,よんくけさたすきもんどうたく,よんくげさだすきもんどうたく,よんくけさだすきもんどうたく　よんくげさたすきもんどうたく　のバリエーションもあり。
釈迦三尊像,しゃかさんそんぞう,しゃかさんぞんぞう,
前垂,まえたれ,まえだれ,
伊勢物語,いせものがたり,いせものがだり,
